
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4, 5, 17, 18, 20, 21, 3,  x: 0 y: -1, 
LinkID: 71, pJointSet:127, nJointSet:31, boundPair:101, chainType:0, linkType:3, embeded:1
LinkID: 72, pJointSet:87, nJointSet:91, boundPair:130, chainType:1, linkType:0, embeded:1
LinkID: 73, pJointSet:91, nJointSet:92, boundPair:124, chainType:1, linkType:1, embeded:1
LinkID: 74, pJointSet:92, nJointSet:27, boundPair:52, chainType:1, linkType:2, embeded:1
LinkID: 75, pJointSet:27, nJointSet:87, boundPair:22, chainType:1, linkType:3, embeded:1
LinkID: 76, pJointSet:12, nJointSet:37, boundPair:30, chainType:1, linkType:0, embeded:1
LinkID: 77, pJointSet:37, nJointSet:97, boundPair:132, chainType:1, linkType:1, embeded:1
LinkID: 78, pJointSet:97, nJointSet:98, boundPair:96, chainType:1, linkType:2, embeded:1
LinkID: 79, pJointSet:98, nJointSet:99, boundPair:-1, chainType:1, linkType:3, embeded:0
LinkID: 80, pJointSet:100, nJointSet:101, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 81, pJointSet:101, nJointSet:102, boundPair:156, chainType:1, linkType:1, embeded:1
LinkID: 82, pJointSet:102, nJointSet:57, boundPair:136, chainType:1, linkType:2, embeded:1
LinkID: 83, pJointSet:57, nJointSet:12, boundPair:46, chainType:1, linkType:3, embeded:1
LinkID: 84, pJointSet:187, nJointSet:40, boundPair:142, chainType:1, linkType:0, embeded:1
LinkID: 85, pJointSet:40, nJointSet:41, boundPair:32, chainType:1, linkType:1, embeded:1
LinkID: 86, pJointSet:41, nJointSet:117, boundPair:88, chainType:1, linkType:2, embeded:1
LinkID: 87, pJointSet:117, nJointSet:47, boundPair:94, chainType:1, linkType:3, embeded:1
LinkID: 88, pJointSet:117, nJointSet:41, boundPair:86, chainType:1, linkType:0, embeded:1
LinkID: 89, pJointSet:41, nJointSet:61, boundPair:48, chainType:1, linkType:1, embeded:1
LinkID: 90, pJointSet:61, nJointSet:113, boundPair:104, chainType:1, linkType:2, embeded:1
LinkID: 91, pJointSet:113, nJointSet:114, boundPair:146, chainType:1, linkType:3, embeded:1
LinkID: 92, pJointSet:77, nJointSet:116, boundPair:153, chainType:0, linkType:0, embeded:1
LinkID: 93, pJointSet:116, nJointSet:117, boundPair:151, chainType:0, linkType:1, embeded:1
LinkID: 94, pJointSet:117, nJointSet:47, boundPair:87, chainType:0, linkType:2, embeded:1
LinkID: 95, pJointSet:47, nJointSet:77, boundPair:37, chainType:0, linkType:3, embeded:1
LinkID: 96, pJointSet:98, nJointSet:97, boundPair:78, chainType:1, linkType:0, embeded:1
LinkID: 97, pJointSet:97, nJointSet:31, boundPair:100, chainType:1, linkType:1, embeded:1
LinkID: 98, pJointSet:31, nJointSet:30, boundPair:24, chainType:1, linkType:2, embeded:1
LinkID: 99, pJointSet:30, nJointSet:124, boundPair:-1, chainType:1, linkType:3, embeded:0
LinkID: 100, pJointSet:97, nJointSet:31, boundPair:97, chainType:0, linkType:0, embeded:1
LinkID: 101, pJointSet:31, nJointSet:127, boundPair:71, chainType:0, linkType:1, embeded:1
LinkID: 102, pJointSet:127, nJointSet:128, boundPair:-1, chainType:0, linkType:2, embeded:0
LinkID: 103, pJointSet:128, nJointSet:129, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 104, pJointSet:113, nJointSet:61, boundPair:90, chainType:1, linkType:0, embeded:1
LinkID: 105, pJointSet:61, nJointSet:132, boundPair:112, chainType:1, linkType:1, embeded:1
LinkID: 106, pJointSet:132, nJointSet:72, boundPair:108, chainType:1, linkType:2, embeded:1
LinkID: 107, pJointSet:72, nJointSet:73, boundPair:58, chainType:1, linkType:3, embeded:1
LinkID: 108, pJointSet:72, nJointSet:132, boundPair:106, chainType:1, linkType:0, embeded:1
LinkID: 109, pJointSet:132, nJointSet:137, boundPair:-1, chainType:1, linkType:1, embeded:1
LinkID: 110, pJointSet:137, nJointSet:73, boundPair:-1, chainType:1, linkType:2, embeded:1
LinkID: 111, pJointSet:73, nJointSet:20, boundPair:122, chainType:1, linkType:3, embeded:1
LinkID: 112, pJointSet:61, nJointSet:132, boundPair:105, chainType:0, linkType:0, embeded:1
LinkID: 113, pJointSet:132, nJointSet:142, boundPair:-1, chainType:0, linkType:1, embeded:1
LinkID: 114, pJointSet:142, nJointSet:113, boundPair:-1, chainType:0, linkType:2, embeded:1
LinkID: 115, pJointSet:113, nJointSet:40, boundPair:145, chainType:0, linkType:3, embeded:1
LinkID: 116, pJointSet:145, nJointSet:146, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 117, pJointSet:146, nJointSet:20, boundPair:123, chainType:0, linkType:1, embeded:1
LinkID: 118, pJointSet:20, nJointSet:157, boundPair:55, chainType:0, linkType:2, embeded:1
LinkID: 119, pJointSet:157, nJointSet:92, boundPair:125, chainType:0, linkType:3, embeded:1
LinkID: 120, pJointSet:150, nJointSet:74, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 121, pJointSet:74, nJointSet:73, boundPair:59, chainType:0, linkType:1, embeded:1
LinkID: 122, pJointSet:73, nJointSet:20, boundPair:111, chainType:0, linkType:2, embeded:1
LinkID: 123, pJointSet:20, nJointSet:146, boundPair:117, chainType:0, linkType:3, embeded:1
LinkID: 124, pJointSet:91, nJointSet:92, boundPair:73, chainType:0, linkType:0, embeded:1
LinkID: 125, pJointSet:92, nJointSet:157, boundPair:119, chainType:0, linkType:1, embeded:1
LinkID: 126, pJointSet:157, nJointSet:158, boundPair:-1, chainType:0, linkType:2, embeded:0
LinkID: 127, pJointSet:158, nJointSet:159, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 128, pJointSet:160, nJointSet:161, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 129, pJointSet:161, nJointSet:91, boundPair:-1, chainType:1, linkType:1, embeded:0
LinkID: 130, pJointSet:91, nJointSet:87, boundPair:72, chainType:1, linkType:2, embeded:1
LinkID: 131, pJointSet:87, nJointSet:127, boundPair:70, chainType:1, linkType:3, embeded:1
LinkID: 132, pJointSet:37, nJointSet:97, boundPair:77, chainType:0, linkType:0, embeded:1
LinkID: 133, pJointSet:97, nJointSet:167, boundPair:-1, chainType:0, linkType:1, embeded:1
LinkID: 134, pJointSet:167, nJointSet:82, boundPair:-1, chainType:0, linkType:2, embeded:1
LinkID: 135, pJointSet:82, nJointSet:37, boundPair:65, chainType:0, linkType:3, embeded:1
LinkID: 136, pJointSet:57, nJointSet:102, boundPair:82, chainType:1, linkType:0, embeded:1
LinkID: 137, pJointSet:102, nJointSet:172, boundPair:-1, chainType:1, linkType:1, embeded:1
LinkID: 138, pJointSet:172, nJointSet:82, boundPair:-1, chainType:1, linkType:2, embeded:1
LinkID: 139, pJointSet:82, nJointSet:57, boundPair:66, chainType:1, linkType:3, embeded:1
LinkID: 140, pJointSet:175, nJointSet:176, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 141, pJointSet:176, nJointSet:40, boundPair:144, chainType:1, linkType:1, embeded:1
LinkID: 142, pJointSet:40, nJointSet:187, boundPair:84, chainType:1, linkType:2, embeded:1
LinkID: 143, pJointSet:187, nJointSet:117, boundPair:150, chainType:1, linkType:3, embeded:1
LinkID: 144, pJointSet:176, nJointSet:40, boundPair:141, chainType:0, linkType:0, embeded:1
LinkID: 145, pJointSet:40, nJointSet:113, boundPair:115, chainType:0, linkType:1, embeded:1
LinkID: 146, pJointSet:113, nJointSet:114, boundPair:91, chainType:0, linkType:2, embeded:1
LinkID: 147, pJointSet:114, nJointSet:184, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 148, pJointSet:185, nJointSet:186, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 149, pJointSet:186, nJointSet:187, boundPair:-1, chainType:0, linkType:1, embeded:0
LinkID: 150, pJointSet:187, nJointSet:117, boundPair:143, chainType:0, linkType:2, embeded:1
LinkID: 151, pJointSet:117, nJointSet:116, boundPair:93, chainType:0, linkType:3, embeded:1
LinkID: 152, pJointSet:78, nJointSet:77, boundPair:62, chainType:1, linkType:0, embeded:1
LinkID: 153, pJointSet:77, nJointSet:116, boundPair:92, chainType:1, linkType:1, embeded:1
LinkID: 154, pJointSet:116, nJointSet:193, boundPair:-1, chainType:1, linkType:2, embeded:0
LinkID: 155, pJointSet:193, nJointSet:194, boundPair:-1, chainType:1, linkType:3, embeded:0
LinkID: 156, pJointSet:101, nJointSet:102, boundPair:81, chainType:0, linkType:0, embeded:1
