
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4,  x: 0 y: -1, 
LinkID: 34, pJointSet:24, nJointSet:27, boundPair:22, chainType:0, linkType:2, embeded:1
LinkID: 35, pJointSet:27, nJointSet:3, boundPair:3, chainType:0, linkType:3, embeded:1
LinkID: 36, pJointSet:45, nJointSet:46, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 37, pJointSet:46, nJointSet:47, boundPair:-1, chainType:1, linkType:1, embeded:0
LinkID: 38, pJointSet:47, nJointSet:41, boundPair:50, chainType:1, linkType:2, embeded:1
LinkID: 39, pJointSet:41, nJointSet:24, boundPair:33, chainType:1, linkType:3, embeded:1
LinkID: 40, pJointSet:10, nJointSet:11, boundPair:8, chainType:0, linkType:0, embeded:1
LinkID: 41, pJointSet:11, nJointSet:38, boundPair:7, chainType:0, linkType:1, embeded:1
LinkID: 42, pJointSet:38, nJointSet:19, boundPair:30, chainType:0, linkType:2, embeded:1
LinkID: 43, pJointSet:19, nJointSet:54, boundPair:47, chainType:0, linkType:3, embeded:1
LinkID: 44, pJointSet:55, nJointSet:56, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 45, pJointSet:56, nJointSet:57, boundPair:-1, chainType:0, linkType:1, embeded:0
LinkID: 46, pJointSet:57, nJointSet:54, boundPair:58, chainType:0, linkType:2, embeded:1
LinkID: 47, pJointSet:54, nJointSet:19, boundPair:43, chainType:0, linkType:3, embeded:1
LinkID: 48, pJointSet:60, nJointSet:67, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 49, pJointSet:67, nJointSet:41, boundPair:53, chainType:1, linkType:1, embeded:0
LinkID: 50, pJointSet:41, nJointSet:47, boundPair:38, chainType:1, linkType:2, embeded:1
LinkID: 51, pJointSet:47, nJointSet:27, boundPair:21, chainType:1, linkType:3, embeded:1
LinkID: 52, pJointSet:40, nJointSet:41, boundPair:32, chainType:1, linkType:0, embeded:0
LinkID: 53, pJointSet:41, nJointSet:67, boundPair:49, chainType:1, linkType:1, embeded:0
LinkID: 54, pJointSet:67, nJointSet:68, boundPair:-1, chainType:1, linkType:2, embeded:0
LinkID: 55, pJointSet:68, nJointSet:69, boundPair:-1, chainType:1, linkType:3, embeded:0
LinkID: 56, pJointSet:70, nJointSet:71, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 57, pJointSet:71, nJointSet:54, boundPair:63, chainType:0, linkType:1, embeded:0
LinkID: 58, pJointSet:54, nJointSet:57, boundPair:46, chainType:0, linkType:2, embeded:1
LinkID: 59, pJointSet:57, nJointSet:38, boundPair:31, chainType:0, linkType:3, embeded:1
LinkID: 60, pJointSet:75, nJointSet:76, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 61, pJointSet:76, nJointSet:77, boundPair:-1, chainType:1, linkType:1, embeded:0
LinkID: 62, pJointSet:77, nJointSet:71, boundPair:-1, chainType:1, linkType:2, embeded:0
LinkID: 63, pJointSet:71, nJointSet:54, boundPair:57, chainType:1, linkType:3, embeded:0

