
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4, 5, 3,  x: 0 y: 1, 
LinkID: 43, pJointSet:53, nJointSet:54, boundPair:54, chainType:1, linkType:3, embeded:0
LinkID: 44, pJointSet:55, nJointSet:53, boundPair:49, chainType:0, linkType:0, embeded:0
LinkID: 45, pJointSet:53, nJointSet:31, boundPair:42, chainType:0, linkType:1, embeded:0
LinkID: 46, pJointSet:31, nJointSet:39, boundPair:31, chainType:0, linkType:2, embeded:0
LinkID: 47, pJointSet:39, nJointSet:15, boundPair:28, chainType:0, linkType:3, embeded:0
LinkID: 48, pJointSet:60, nJointSet:55, boundPair:-1, chainType:1, linkType:0, embeded:0
LinkID: 49, pJointSet:55, nJointSet:53, boundPair:44, chainType:1, linkType:1, embeded:0
LinkID: 50, pJointSet:53, nJointSet:42, boundPair:53, chainType:1, linkType:2, embeded:0
LinkID: 51, pJointSet:42, nJointSet:20, boundPair:34, chainType:1, linkType:3, embeded:0
LinkID: 52, pJointSet:29, nJointSet:42, boundPair:37, chainType:0, linkType:0, embeded:0
LinkID: 53, pJointSet:42, nJointSet:53, boundPair:50, chainType:0, linkType:1, embeded:0
LinkID: 54, pJointSet:53, nJointSet:54, boundPair:43, chainType:0, linkType:2, embeded:0
LinkID: 55, pJointSet:54, nJointSet:69, boundPair:-1, chainType:0, linkType:3, embeded:0

