
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4, 5, 14, 15, 17, 18, 20,  x: 0 y: 1, 
LinkID: 36, pJointSet:42, nJointSet:5, boundPair:34, chainType:1, linkType:0, embeded:0
LinkID: 37, pJointSet:5, nJointSet:24, boundPair:40, chainType:1, linkType:1, embeded:0
LinkID: 38, pJointSet:24, nJointSet:63, boundPair:27, chainType:1, linkType:2, embeded:0
LinkID: 39, pJointSet:63, nJointSet:27, boundPair:22, chainType:1, linkType:3, embeded:0
LinkID: 40, pJointSet:5, nJointSet:24, boundPair:37, chainType:0, linkType:0, embeded:0
LinkID: 41, pJointSet:24, nJointSet:23, boundPair:19, chainType:0, linkType:1, embeded:0
LinkID: 42, pJointSet:23, nJointSet:15, boundPair:48, chainType:0, linkType:2, embeded:0
LinkID: 43, pJointSet:15, nJointSet:72, boundPair:61, chainType:0, linkType:3, embeded:0
LinkID: 44, pJointSet:23, nJointSet:27, boundPair:21, chainType:0, linkType:0, embeded:0
LinkID: 45, pJointSet:27, nJointSet:57, boundPair:55, chainType:0, linkType:1, embeded:0
LinkID: 46, pJointSet:57, nJointSet:42, boundPair:72, chainType:0, linkType:2, embeded:0
LinkID: 47, pJointSet:42, nJointSet:41, boundPair:33, chainType:0, linkType:3, embeded:0
LinkID: 48, pJointSet:23, nJointSet:15, boundPair:42, chainType:1, linkType:0, embeded:0
LinkID: 49, pJointSet:15, nJointSet:16, boundPair:12, chainType:1, linkType:1, embeded:0
LinkID: 50, pJointSet:16, nJointSet:63, boundPair:23, chainType:1, linkType:2, embeded:0
LinkID: 51, pJointSet:63, nJointSet:32, boundPair:26, chainType:1, linkType:3, embeded:0
LinkID: 52, pJointSet:42, nJointSet:92, boundPair:73, chainType:0, linkType:0, embeded:0
LinkID: 53, pJointSet:92, nJointSet:3, boundPair:3, chainType:0, linkType:1, embeded:0
LinkID: 54, pJointSet:3, nJointSet:57, boundPair:56, chainType:0, linkType:2, embeded:0
LinkID: 55, pJointSet:57, nJointSet:27, boundPair:45, chainType:0, linkType:3, embeded:0
LinkID: 56, pJointSet:3, nJointSet:57, boundPair:54, chainType:1, linkType:0, embeded:0
LinkID: 57, pJointSet:57, nJointSet:72, boundPair:60, chainType:1, linkType:1, embeded:0
LinkID: 58, pJointSet:72, nJointSet:93, boundPair:-1, chainType:1, linkType:2, embeded:0
LinkID: 59, pJointSet:93, nJointSet:92, boundPair:74, chainType:1, linkType:3, embeded:0
LinkID: 60, pJointSet:57, nJointSet:72, boundPair:57, chainType:0, linkType:0, embeded:0
LinkID: 61, pJointSet:72, nJointSet:15, boundPair:43, chainType:0, linkType:1, embeded:0
LinkID: 62, pJointSet:15, nJointSet:12, boundPair:64, chainType:0, linkType:2, embeded:0
LinkID: 63, pJointSet:12, nJointSet:32, boundPair:9, chainType:0, linkType:3, embeded:0
LinkID: 64, pJointSet:15, nJointSet:12, boundPair:62, chainType:1, linkType:0, embeded:0
LinkID: 65, pJointSet:12, nJointSet:82, boundPair:68, chainType:1, linkType:1, embeded:0
LinkID: 66, pJointSet:82, nJointSet:83, boundPair:67, chainType:1, linkType:2, embeded:0
LinkID: 67, pJointSet:83, nJointSet:82, boundPair:66, chainType:1, linkType:3, embeded:0
LinkID: 68, pJointSet:12, nJointSet:82, boundPair:65, chainType:0, linkType:0, embeded:0
LinkID: 69, pJointSet:82, nJointSet:87, boundPair:79, chainType:0, linkType:1, embeded:0
LinkID: 70, pJointSet:87, nJointSet:88, boundPair:-1, chainType:0, linkType:2, embeded:0
LinkID: 71, pJointSet:88, nJointSet:89, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 72, pJointSet:57, nJointSet:42, boundPair:46, chainType:1, linkType:0, embeded:0
LinkID: 73, pJointSet:42, nJointSet:92, boundPair:52, chainType:1, linkType:1, embeded:0
LinkID: 74, pJointSet:92, nJointSet:93, boundPair:59, chainType:1, linkType:2, embeded:0
LinkID: 75, pJointSet:93, nJointSet:94, boundPair:-1, chainType:1, linkType:3, embeded:0
LinkID: 76, pJointSet:95, nJointSet:96, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 77, pJointSet:96, nJointSet:97, boundPair:-1, chainType:0, linkType:1, embeded:0
LinkID: 78, pJointSet:97, nJointSet:87, boundPair:-1, chainType:0, linkType:2, embeded:0
LinkID: 79, pJointSet:87, nJointSet:82, boundPair:69, chainType:0, linkType:3, embeded:0

